stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-08-27,25735159,2135558123,82.9,83.5,82.4,83.0,1.0,7117
2330,2012-08-28,32428911,2674090877,82.3,83.4,82.0,82.4,-0.6,5990
2330,2012-08-29,18467775,1527786731,82.6,83.0,82.1,82.7,0.3,4953
2330,2012-08-30,46031832,3815781144,82.3,83.2,82.3,82.7,0.0,6154
2330,2012-08-31,13536360,1125345364,82.4,83.3,82.4,83.3,0.6,4454
2330,2012-09-03,20795778,1738754923,83.5,83.9,82.8,83.9,0.6,7998
2330,2012-09-04,21703446,1816069778,84.0,84.0,83.5,84.0,0.1,5097
2330,2012-09-05,43302499,3564117760,83.0,83.3,81.9,82.0,-2.0,13853
2330,2012-09-06,25873922,2109312625,82.8,82.8,81.0,81.1,-0.9,8778
2330,2012-09-07,44499367,3711680234,83.0,83.9,82.8,83.8,2.7,14273
2330,2012-09-10,23048912,1924726208,83.3,83.6,83.2,83.5,-0.3,5828
2330,2012-09-11,31624909,2665308152,84.2,84.7,84.0,84.4,0.9,9388
2330,2012-09-12,37513971,3174841680,84.5,84.9,84.5,84.5,0.1,8244
2330,2012-09-13,29680695,2513614969,84.5,85.0,84.5,85.0,0.5,7897
2330,2012-09-14,52174702,4492191672,85.6,86.5,85.5,86.5,1.5,12865
2330,2012-09-17,26567240,2297102795,86.9,87.0,85.8,86.5,0.0,6630
2330,2012-09-18,35898109,3083460532,86.5,86.5,85.4,85.7,-0.8,8269
2330,2012-09-19,43594231,3729692605,85.9,86.4,85.1,86.0,0.3,8737
2330,2012-09-20,26839673,2290803782,86.0,86.0,85.1,85.3,-0.7,6121
2330,2012-09-21,51084876,4388915179,86.0,86.5,85.3,85.7,0.4,8974
2330,2012-09-24,30360921,2603852706,85.7,86.4,85.1,86.1,0.4,7142
2330,2012-09-25,35919223,3087035563,85.8,86.2,85.7,85.9,-0.2,6836
2330,2012-09-26,36962277,3169378957,85.4,86.4,85.0,86.4,0.5,8102
